Method,k,Cluster,Patient_Count,Percentage
t-SNE,10,3,740,9.415956228527802
t-SNE,10,4,692,8.805191500190864
t-SNE,10,5,572,7.278279679348517
t-SNE,10,6,393,5.000636213258685
t-SNE,10,7,1550,19.72261101921364
t-SNE,10,8,268,3.4101030665479066
t-SNE,10,9,585,7.443695126606438
UMAP,3,0,2585,32.892225473978876
UMAP,3,1,2195,27.929762056241252
UMAP,3,2,3079,39.17801246977987
UMAP,4,0,2195,27.929762056241252
UMAP,4,1,2319,29.507570937778343
UMAP,4,2,1512,19.239088942613563
UMAP,4,3,1833,23.32357806336684
UMAP,5,0,1073,13.653136531365314
UMAP,5,1,2118,26.949993637867415
UMAP,5,2,2195,27.929762056241252
UMAP,5,3,1247,15.867158671586715
UMAP,5,4,1226,15.599949102939306
UMAP,6,0,836,10.63748568520168
UMAP,6,1,2118,26.949993637867415
UMAP,6,2,2195,27.929762056241252
UMAP,6,3,840,10.688382745896424
UMAP,6,4,900,11.451838656317598
UMAP,6,5,970,12.342537218475632
UMAP,7,0,836,10.63748568520168
UMAP,7,1,2118,26.949993637867415
UMAP,7,2,2195,27.929762056241252
UMAP,7,3,669,8.51253340119608
UMAP,7,4,665,8.461636340501336
UMAP,7,5,698,8.881537091232982
UMAP,7,6,678,8.627051787759257
UMAP,8,0,836,10.63748568520168
UMAP,8,1,2118,26.949993637867415
UMAP,8,2,2195,27.929762056241252
UMAP,8,3,856,10.891970988675403
UMAP,8,4,237,3.0156508461636338
UMAP,8,5,828,10.53569156381219
UMAP,8,6,361,4.593459727700725
UMAP,8,7,428,5.445985494337702
UMAP,9,0,237,3.0156508461636338
UMAP,9,1,2118,26.949993637867415
UMAP,9,2,2195,27.929762056241252
UMAP,9,3,770,9.79768418373839
UMAP,9,4,836,10.63748568520168
UMAP,9,5,428,5.445985494337702
UMAP,9,6,361,4.593459727700725
UMAP,9,7,424,5.3950884336429565
UMAP,9,8,490,6.2348899351062474
UMAP,10,0,2118,26.949993637867415
UMAP,10,1,2195,27.929762056241252
UMAP,10,2,656,8.34711795393816
UMAP,10,3,480,6.107647283369386
UMAP,10,4,836,10.63748568520168
UMAP,10,5,300,3.8172795521058656
UMAP,10,6,237,3.0156508461636338
UMAP,10,7,428,5.445985494337702
UMAP,10,8,408,5.1915001908639775
UMAP,10,9,201,2.55757729991093
VAE,3,0,2020,25.70301565084616
VAE,3,1,4318,54.94337701997709
VAE,3,2,1521,19.35360732917674
VAE,4,0,2031,25.84298256775671
VAE,4,1,2819,35.86970352462146
VAE,4,2,2195,27.929762056241252
VAE,4,3,814,10.357551851380583
VAE,5,0,1982,25.219493574246087
VAE,5,1,2118,26.949993637867415
VAE,5,2,2195,27.929762056241252
VAE,5,3,513,6.52754803410103
VAE,5,4,1051,13.373202697544217
VAE,6,0,1358,17.279552105865886
VAE,6,1,2118,26.949993637867415
VAE,6,2,2195,27.929762056241252
VAE,6,3,422,5.369639903295584
VAE,6,4,1051,13.373202697544217
VAE,6,5,715,9.097849599185647
VAE,7,0,2195,27.929762056241252
VAE,7,1,1358,17.279552105865886
VAE,7,2,350,4.453492810790176
VAE,7,3,2118,26.949993637867415
VAE,7,4,715,9.097849599185647
VAE,7,5,422,5.369639903295584
VAE,7,6,701,8.91970988675404
VAE,8,0,2195,27.929762056241252
VAE,8,1,844,10.739279806591169
VAE,8,2,701,8.91970988675404
VAE,8,3,2118,26.949993637867415
VAE,8,4,715,9.097849599185647
VAE,8,5,658,8.372566484285532
VAE,8,6,350,4.453492810790176
VAE,8,7,278,3.537345718284769
VAE,9,0,812,10.33210332103321
VAE,9,1,2118,26.949993637867415
VAE,9,2,2195,27.929762056241252
VAE,9,3,277,3.5246214531110827
VAE,9,4,396,5.038809008779744
VAE,9,5,701,8.91970988675404
VAE,9,6,352,4.47894134113755
VAE,9,7,350,4.453492810790176
VAE,9,8,658,8.372566484285532
VAE,10,0,2195,27.929762056241252
VAE,10,1,589,7.4945921873011825
VAE,10,2,2118,26.949993637867415
VAE,10,3,350,4.453492810790176
VAE,10,4,367,4.669805318742842
VAE,10,5,275,3.4991729227637105
VAE,10,6,701,8.91970988675404
VAE,10,7,658,8.372566484285532
VAE,10,8,352,4.47894134113755
VAE,10,9,254,3.2319633541162998
