n_neighbors,min_dist,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size
15,0.5,0.8,1.9936018387013954,18,267,3.3973788013742205,39
15,0.5,0.9,2.2428020685390697,17,240,3.053823641684693,51
15,0.5,1.0,2.492002298376744,14,236,3.0029265809899477,55
25,0.0,0.8,4.948169799355772,6,75,0.9543198880264664,201
25,0.0,0.9,5.566691024275244,4,49,0.6234889935106248,227
25,0.0,1.0,6.185212249194715,3,0,0.0,2118
25,0.1,0.8,3.73258458674524,8,109,1.386944903931798,51
25,0.1,0.9,4.199157660088395,5,69,0.8779742969843493,175
25,0.1,1.0,4.66573073343155,4,0,0.0,369
25,0.2,0.8,3.409323511272415,9,103,1.3105993128896807,175
25,0.2,0.9,3.835488950181467,6,82,1.04338974424227,201
25,0.2,1.0,4.261654389090519,5,32,0.407176485557959,201
25,0.3,0.8,3.1140564032574485,7,82,1.04338974424227,169
25,0.3,0.9,3.5033134536646298,6,0,0.0,169
25,0.3,1.0,3.8925705040718106,4,0,0.0,201
25,0.4,0.8,4.012196750736578,6,75,0.9543198880264664,201
25,0.4,0.9,4.51372134457865,4,39,0.4962463417737626,201
25,0.4,1.0,5.015245938420723,3,0,0.0,2118
25,0.5,0.8,2.7947660232738585,13,115,1.4632904949739152,51
25,0.5,0.9,3.144111776183091,9,37,0.4707978114263901,51
25,0.5,1.0,3.493457529092323,7,37,0.4707978114263901,51
30,0.0,0.8,3.561839534097377,15,80,1.0179412138948976,58
30,0.0,0.9,4.0070694758595495,11,37,0.4707978114263901,98
30,0.0,1.0,4.452299417621721,8,0,0.0,175
30,0.1,0.8,2.957706966385913,14,159,2.023158162616109,51
30,0.1,0.9,3.3274203371841518,9,61,0.7761801755948594,95
30,0.1,1.0,3.697133707982391,8,0,0.0,95
30,0.2,0.8,3.136457452988821,12,32,0.407176485557959,98
30,0.2,0.9,3.5285146346124234,8,32,0.407176485557959,98
30,0.2,1.0,3.920571816236026,6,0,0.0,201
30,0.3,0.8,3.0967299107746613,10,66,0.8398015014632905,55
30,0.3,0.9,3.483821149621494,7,66,0.8398015014632905,55
30,0.3,1.0,3.8709123884683265,6,26,0.3308308945158417,175
30,0.4,0.8,1.425646776854224,20,257,3.2701361496373584,55
30,0.4,0.9,1.6038526239610018,20,218,2.773889807863596,55
30,0.4,1.0,1.7820584710677798,20,150,1.9086397760529328,55
30,0.5,0.8,1.7495410233995188,16,238,3.0283751113373203,55
30,0.5,0.9,1.9682336513244587,15,175,2.226746405395088,55
30,0.5,1.0,2.1869262792493984,13,161,2.0486066929634816,55
50,0.0,0.8,2.8294810044620182,13,125,1.5905331467107775,61
50,0.0,0.9,3.1831661300197704,12,76,0.9670441532001526,61
50,0.0,1.0,3.5368512555775227,10,0,0.0,134
50,0.1,0.8,2.070059047125383,16,76,0.9670441532001526,94
50,0.1,0.9,2.3288164280160553,15,76,0.9670441532001526,94
50,0.1,1.0,2.587573808906728,13,0,0.0,98
50,0.2,0.8,1.6761825158646837,19,145,1.8450184501845017,58
50,0.2,0.9,1.885705330347769,19,145,1.8450184501845017,58
50,0.2,1.0,2.0952281448308545,17,67,0.8525257666369767,58
50,0.3,0.8,1.377870331266097,20,177,2.252194935742461,58
50,0.3,0.9,1.550104122674359,18,177,2.252194935742461,58
50,0.3,1.0,1.7223379140826212,17,108,1.3742206387581117,58
50,0.4,0.8,1.436731558905255,14,123,1.5650846163634051,94
50,0.4,0.9,1.6163230037684118,13,70,0.8906985621580354,98
50,0.4,1.0,1.7959144486315686,11,12,0.15269118208423463,175
50,0.5,0.8,0.7450832925380895,23,411,5.229672986385036,55
50,0.5,0.9,0.8382187041053507,23,384,4.886117826695508,58
50,0.5,1.0,0.9313541156726118,23,336,4.27535309835857,58
60,0.0,0.8,2.357283167220867,18,76,0.9670441532001526,58
60,0.0,0.9,2.6519435631234756,17,76,0.9670441532001526,58
60,0.0,1.0,2.946603959026084,17,0,0.0,58
60,0.1,0.8,2.9159486442253097,11,58,0.7380073800738007,95
60,0.1,0.9,3.2804422247534735,9,37,0.4707978114263901,95
60,0.1,1.0,3.644935805281637,8,0,0.0,95
60,0.2,0.8,1.3434350358141431,19,177,2.252194935742461,68
60,0.2,0.9,1.5113644152909111,16,156,1.9849853670950504,68
60,0.2,1.0,1.679293794767679,15,156,1.9849853670950504,71
60,0.3,0.8,1.613541880148313,13,124,1.5778088815370912,58
60,0.3,0.9,1.8152346151668521,11,101,1.2851507825423083,94
60,0.3,1.0,2.0169273501853913,10,86,1.094286804937015,94
60,0.4,0.8,1.0243095115497935,20,191,2.430334648174068,58
60,0.4,0.9,1.1523482004935177,18,177,2.252194935742461,58
60,0.4,1.0,1.2803868894372419,16,72,0.9161470925054078,58
60,0.5,0.8,1.2568775100741099,15,90,1.14518386563176,64
60,0.5,0.9,1.4139871988333734,13,90,1.14518386563176,64
60,0.5,1.0,1.5710968875926372,12,90,1.14518386563176,64
