hidden_layer_1,hidden_layer_2,learning_rate,beta,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size,silhouette_score,davies_bouldin_index,calinski_harabasz_index,valid_model,silhouette_rank,davies_bouldin_rank,calinski_harabasz_rank,combined_rank
256,128,0.0005,0.2,0.9,0.21387551937237503,20,89,1.1324596004580736,67,0.9303457736968994,0.22165823809438226,264034.4653956023,True,28.0,67.0,50.0,145.0
128,64,0.0007,0.25,0.8,0.16509620272274547,17,115,1.4632904949739152,51,0.9285008311271667,0.21244749378945313,254160.23219405292,True,33.0,59.0,53.0,145.0
128,64,0.0007,0.2,0.9,0.22886510509915411,19,144,1.8322941850108156,51,0.9306431412696838,0.23342009310380393,268293.0039333599,True,27.0,73.0,47.0,147.0
256,128,0.0003,0.2,0.9,0.073189448197829,24,112,1.4251176994528567,51,0.9160237908363342,0.16675735186743545,217320.80427405852,True,62.0,27.0,59.0,148.0
256,128,0.0009,0.2,0.9,0.1689376335837747,24,156,1.9849853670950504,51,0.9332032799720764,0.27267451970110407,362347.3264866756,True,22.0,95.0,31.0,148.0
128,64,0.0004,0.25,0.8,0.15817393816009317,17,55,0.6998345845527421,94,0.9247457385063171,0.20977644318567223,251830.62407721044,True,39.0,56.0,55.0,150.0
128,64,0.0004,0.15,0.8,0.15599085864300016,19,183,2.328540526784578,51,0.9172402024269104,0.16278163191665007,190597.44415023344,True,57.0,20.0,74.0,151.0
256,128,0.0003,0.2,1.0,0.08132160910869887,24,108,1.3742206387581117,51,0.9157600998878479,0.1678771959322849,216292.74825468514,True,63.0,28.0,62.0,153.0
128,64,0.0002,0.25,1.0,0.15783761955312456,14,103,1.3105993128896807,51,0.9208705425262451,0.20642282397087977,258584.91660637452,True,54.0,55.0,51.0,160.0
128,64,0.0005,0.25,0.8,0.19643913382762812,18,160,2.035882427789795,52,0.924847424030304,0.2532886342189955,275331.8685097371,True,38.0,84.0,45.0,167.0
256,128,0.0002,0.25,0.9,0.1276870377337111,17,15,0.1908639776052933,57,0.9171414375305176,0.2495871627644157,296177.07820649736,True,58.0,82.0,41.0,181.0
128,64,0.0001,0.1,0.8,0.09824167767552681,14,177,2.252194935742461,85,0.9018591642379761,0.16027897640635372,175307.5330137124,True,89.0,15.0,80.0,184.0
