hidden_1,hidden_2,learning_rate,beta,batch_size,epochs,epsilon,min_samples,clusters,outliers,outlier_percentage,silhouette,dbi,chi,cluster_error,silhouette_error,dbi_error,chi_error,matching_error
32,16,0.0002,0.001,128,50,0.55,40,5,13,0.16997907949790797,0.6379552483558655,0.61550695604963,20798.205349512416,0.5833333333333334,0.2831963501619489,2.2395102949980528,0.8499818639146512,0.9890054606019967
32,16,0.0002,0.001,128,50,0.55,50,5,16,0.20920502092050208,0.6378565430641174,0.6134696487585387,20826.763001166364,0.5833333333333334,0.2833072549841377,2.2287876250449403,0.8497758766383403,0.9863010225001879
32,16,0.0002,0.001,128,50,0.55,60,5,21,0.27458158995815896,0.6397929787635803,0.6115857023643576,20902.171423802527,0.5833333333333334,0.281131484535303,2.218872117707145,0.849231953217117,0.9831422221982246
32,16,0.0002,0.001,128,50,0.55,70,5,26,0.33995815899581594,0.6380426287651062,0.609099278887167,21044.3650289329,0.5833333333333334,0.283098169926847,2.2057856783535104,0.848206306088125,0.9801058719254538
32,16,0.0002,0.001,128,50,0.55,80,5,30,0.3922594142259414,0.640394926071167,0.6070654567575786,21087.392185642882,0.5833333333333334,0.2804551392458798,2.195081351355677,0.847895949798137,0.9766914434332568
32,16,0.0002,0.001,128,50,0.55,90,5,43,0.5622384937238494,0.6432175636291504,0.6023872888316992,21123.90726881589,0.5833333333333334,0.27728363637174114,2.17045941490368,0.8476325653077658,0.96967723747913
32,16,0.0002,0.001,128,50,0.55,100,5,51,0.6668410041841004,0.6456694602966309,0.5985296549924488,21261.30630578974,0.5833333333333334,0.2745286962959204,2.1501560789076253,0.846641501555853,0.9636649025231829
32,16,0.0002,0.001,128,50,0.6,10,5,1,0.01307531380753138,0.635801374912262,0.6227784295781692,20297.18339316575,0.5833333333333334,0.28561643268285175,2.2777812083061537,0.8535957516884213,1.00008168150269
32,16,0.0002,0.001,128,50,0.6,20,5,2,0.02615062761506276,0.637093722820282,0.6218426322979969,20354.12426840104,0.5833333333333334,0.2841643563817057,2.2728559594631412,0.8531850352911978,0.9983846711173445
32,16,0.0002,0.001,128,50,0.6,30,5,6,0.07845188284518828,0.6309033036231995,0.6193564726156842,20495.01415402497,0.5833333333333334,0.2911198835694388,2.259770908503601,0.8521687919336873,0.9965982293350151
32,16,0.0002,0.001,128,50,0.6,40,5,9,0.11767782426778244,0.6328288316726685,0.6175155965297479,20618.084880746963,0.5833333333333334,0.2889563689071141,2.250082086998673,0.8512810787527068,0.9934132169979568
32,16,0.0002,0.001,128,50,0.6,50,5,11,0.14382845188284518,0.6323218941688538,0.6163758880882851,20702.450744021535,0.5833333333333334,0.2895259616080295,2.2440836215172904,0.8506725450189065,0.9919038653693899
32,16,0.0002,0.001,128,50,0.6,60,5,11,0.14382845188284518,0.6323218941688538,0.6163758880882851,20702.450744021535,0.5833333333333334,0.2895259616080295,2.2440836215172904,0.8506725450189065,0.9919038653693899
32,16,0.0002,0.001,128,50,0.6,70,5,20,0.2615062761506276,0.6427054405212402,0.6113596595183248,20879.699997009517,0.5833333333333334,0.2778590555941121,2.2176824185174993,0.8493940403542528,0.9820672119497993
32,16,0.0002,0.001,128,50,0.6,80,5,22,0.28765690376569036,0.6381489634513855,0.6103280527595822,20901.30122237548,0.5833333333333334,0.28297869275125226,2.2122529092609593,0.8492382300084993,0.981950791338511
