hidden_layer_1,hidden_layer_2,learning_rate,beta,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size
256,128,0.0009,0.15,1.0,0.38027002281122224,14,57,0.7252831149001145,51
256,128,0.0009,0.2,0.8,0.15016678540779974,24,182,2.315816261610892,51
256,128,0.0009,0.2,0.9,0.1689376335837747,24,156,1.9849853670950504,51
256,128,0.0009,0.2,1.0,0.18770848175974966,22,144,1.8322941850108156,51
256,128,0.0009,0.25,0.8,0.27131041723542115,16,129,1.6414302074055223,51
256,128,0.0009,0.25,0.9,0.3052242193898488,11,85,1.0815625397633286,51
256,128,0.0009,0.25,1.0,0.3391380215442764,11,43,0.5471434024685075,51
256,128,0.001,0.01,0.8,0.39989409633403145,3,91,1.157908130805446,41
256,128,0.001,0.01,0.9,0.4498808583757854,1,6,0.07634559104211731,7853
256,128,0.001,0.01,1.0,0.4998676204175393,1,5,0.0636213258684311,7854
256,128,0.001,0.05,0.8,0.3394564372316426,4,166,2.1122280188319125,51
256,128,0.001,0.05,0.9,0.38188849188559787,5,91,1.157908130805446,49
256,128,0.001,0.05,1.0,0.4243205465395532,2,86,1.094286804937015,738
256,128,0.001,0.1,0.8,0.45968353786599475,4,33,0.41990075073164523,55
256,128,0.001,0.1,0.9,0.5171439800992441,3,10,0.1272426517368622,55
256,128,0.001,0.1,1.0,0.5746044223324934,2,6,0.07634559104211731,55
256,128,0.001,0.15,0.8,0.29132436064762696,22,132,1.679603002926581,51
256,128,0.001,0.15,0.9,0.3277399057285803,18,113,1.4378419646265428,51
256,128,0.001,0.15,1.0,0.36415545080953365,16,52,0.6616617890316834,55
256,128,0.001,0.2,0.8,0.1744866305107381,19,127,1.6159816770581499,70
256,128,0.001,0.2,0.9,0.19629745932458034,16,122,1.5523603511897188,70
256,128,0.001,0.2,1.0,0.2181082881384226,15,57,0.7252831149001145,80
256,128,0.001,0.25,0.8,0.18123693562276233,16,331,4.211731772490139,51
256,128,0.001,0.25,0.9,0.20389155257560762,17,249,3.168342028247869,51
256,128,0.001,0.25,1.0,0.2265461695284529,15,199,2.532128769563558,51
