hidden_layer_1,hidden_layer_2,learning_rate,beta,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size
128,64,0.0009,0.1,1.0,0.6388475407357112,2,0,0.0,352
128,64,0.0009,0.15,0.8,0.2699409141702889,19,153,1.9468125715739915,51
128,64,0.0009,0.15,0.9,0.30368352844157503,17,143,1.8195699198371293,51
128,64,0.0009,0.15,1.0,0.33742614271286114,12,121,1.5396360860160325,110
128,64,0.0009,0.2,0.8,0.38043858250308915,12,72,0.9161470925054078,175
128,64,0.0009,0.2,0.9,0.42799340531597524,11,29,0.36900369003690037,175
128,64,0.0009,0.2,1.0,0.4755482281288614,10,25,0.3181066293421555,175
128,64,0.0009,0.25,0.8,0.2477505366291236,16,41,0.521694872121135,85
128,64,0.0009,0.25,0.9,0.278719353707764,14,35,0.4453492810790177,80
128,64,0.0009,0.25,1.0,0.3096881707864045,13,34,0.4326250159053315,94
128,64,0.001,0.01,0.8,0.4641938397035672,4,34,0.4326250159053315,54
128,64,0.001,0.01,0.9,0.5222180696665131,2,10,0.1272426517368622,81
128,64,0.001,0.01,1.0,0.580242299629459,2,6,0.07634559104211731,76
128,64,0.001,0.05,0.8,0.41411806180717553,4,8,0.10179412138948975,51
128,64,0.001,0.05,0.9,0.4658828195330724,1,0,0.0,7859
128,64,0.001,0.05,1.0,0.5176475772589694,1,0,0.0,7859
128,64,0.001,0.1,0.8,0.2563241272866496,19,214,2.722992747168851,51
128,64,0.001,0.1,0.9,0.28836464319748084,16,161,2.0486066929634816,51
128,64,0.001,0.1,1.0,0.320405159108312,12,121,1.5396360860160325,55
128,64,0.001,0.15,0.8,0.2003879289412391,20,276,3.511897187937397,51
128,64,0.001,0.15,0.9,0.22543642005889397,21,216,2.7484412775162235,51
128,64,0.001,0.15,1.0,0.25048491117654886,21,156,1.9849853670950504,51
128,64,0.001,0.2,0.8,0.46914019415459607,12,96,1.221529456673877,174
128,64,0.001,0.2,0.9,0.5277827184239205,9,24,0.30538236416846926,175
128,64,0.001,0.2,1.0,0.586425242693245,8,16,0.2035882427789795,175
128,64,0.001,0.25,0.8,0.2811242037106645,12,36,0.4580735462527039,157
128,64,0.001,0.25,0.9,0.31626472917449755,11,0,0.0,157
128,64,0.001,0.25,1.0,0.3514052546383306,8,0,0.0,229
256,128,0.0001,0.01,0.8,0.6621212457849297,5,77,0.9797684183738389,74
256,128,0.0001,0.01,0.9,0.744886401508046,2,22,0.2799338338210969,276
256,128,0.0001,0.01,1.0,0.8276515572311621,1,0,0.0,7859
256,128,0.0001,0.05,0.8,0.28533287516333394,19,77,0.9797684183738389,55
256,128,0.0001,0.05,0.9,0.3209994845587507,15,3,0.03817279552105866,59
256,128,0.0001,0.05,1.0,0.35666609395416743,13,0,0.0,62
256,128,0.0001,0.1,0.8,0.10263342110744984,19,128,1.628705942231836,51
256,128,0.0001,0.1,0.9,0.11546259874588108,19,119,1.5141875556686601,51
256,128,0.0001,0.1,1.0,0.1282917763843123,19,107,1.3614963735844254,59
256,128,0.0001,0.15,0.8,0.09460044055859124,18,133,1.692327268100267,51
256,128,0.0001,0.15,0.9,0.10642549562841513,17,118,1.5014632904949738,52
256,128,0.0001,0.15,1.0,0.11825055069823903,17,109,1.386944903931798,55
256,128,0.0001,0.2,0.8,0.055225135688673516,14,176,2.239470670568775,51
256,128,0.0001,0.2,0.9,0.0621282776497577,13,145,1.8450184501845017,52
256,128,0.0001,0.2,1.0,0.06903141961084189,13,121,1.5396360860160325,52
256,128,0.0001,0.25,0.8,0.06533143092931326,11,41,0.521694872121135,175
256,128,0.0001,0.25,0.9,0.07349785979547742,11,33,0.41990075073164523,175
256,128,0.0001,0.25,1.0,0.08166428866164158,11,19,0.24176103830003814,175
256,128,0.0002,0.01,0.8,0.542946384009856,7,129,1.6414302074055223,35
256,128,0.0002,0.01,0.9,0.6108146820110879,3,52,0.6616617890316834,44
256,128,0.0002,0.01,1.0,0.6786829800123199,1,14,0.1781397124316071,7845
256,128,0.0002,0.05,0.8,0.27503193375928536,21,325,4.1353861814480215,51
256,128,0.0002,0.05,0.9,0.309410925479196,19,240,3.053823641684693,51
256,128,0.0002,0.05,1.0,0.3437899171991067,15,171,2.1758493447003433,51
256,128,0.0002,0.1,0.8,0.21609504454129122,20,59,0.7507316452474869,45
256,128,0.0002,0.1,0.9,0.2431069251089526,18,1,0.012724265173686218,110
256,128,0.0002,0.1,1.0,0.270118805676614,16,0,0.0,110
256,128,0.0002,0.15,0.8,0.1772859852920334,19,187,2.379437587479323,51
256,128,0.0002,0.15,0.9,0.19944673345353756,18,110,1.3996691691054841,63
256,128,0.0002,0.15,1.0,0.22160748161504173,15,39,0.4962463417737626,150
