hidden_layer_1,hidden_layer_2,learning_rate,beta,epsilon_multiplier,epsilon,silhouette_score,davies_bouldin_index,calinski_harabasz_index
256,128,0.0001,0.1,0.8,0.10263342110744984,0.8432010412216187,0.21393606312953292,65512.02211407836
256,128,0.0001,0.1,0.9,0.11546259874588108,0.8424992561340332,0.21485588555357674,64858.42298610723
256,128,0.0001,0.1,1.0,0.1282917763843123,0.8416699171066284,0.220912327343733,64606.47043509547
256,128,0.0001,0.15,0.8,0.09460044055859124,0.8517346978187561,0.27742438834755645,75669.72457603429
256,128,0.0001,0.15,0.9,0.10642549562841513,0.852648138999939,0.27675698934272297,77938.01514420196
256,128,0.0001,0.15,1.0,0.11825055069823903,0.8514852523803711,0.2816005977125251,77595.3273526276
256,128,0.0001,0.2,0.8,0.055225135688673516,0.8957875967025757,0.22334041269981672,164068.97089457666
256,128,0.0001,0.2,0.9,0.0621282776497577,0.8985812664031982,0.19270751238865647,173333.31132456142
256,128,0.0001,0.2,1.0,0.06903141961084189,0.8972775936126709,0.1976999868676222,171755.6494476755
256,128,0.0001,0.25,0.8,0.06533143092931326,0.8639898896217346,0.29362331054888136,300878.8821761088
256,128,0.0001,0.25,0.9,0.07349785979547742,0.8634673953056335,0.2953080709873721,298332.72444699885
256,128,0.0001,0.25,1.0,0.08166428866164158,0.862314760684967,0.2994295490609406,292763.1259588307
256,128,0.0002,0.01,0.8,0.542946384009856,0.17374739050865173,0.6195475860412126,719.1321023496672
256,128,0.0002,0.01,0.9,0.6108146820110879,0.40672481060028076,0.5858320708612988,1258.1840800779355
256,128,0.0002,0.01,1.0,0.6786829800123199,,,
256,128,0.0002,0.05,0.8,0.27503193375928536,0.6118284463882446,0.3707843315499729,7094.969062927497
256,128,0.0002,0.05,0.9,0.309410925479196,0.6009061932563782,0.44944192125613336,7471.079582123399
256,128,0.0002,0.05,1.0,0.3437899171991067,0.354318231344223,0.5031545016627507,2193.1869012992547
256,128,0.0002,0.1,0.8,0.21609504454129122,0.7119979858398438,0.37868486025026116,14142.807663597661
256,128,0.0002,0.1,0.9,0.2431069251089526,0.683554470539093,0.4674847202335434,13572.52475541703
256,128,0.0002,0.1,1.0,0.270118805676614,0.6494542956352234,0.5567350809038388,11799.765111569124
256,128,0.0002,0.15,0.8,0.1772859852920334,0.8562005758285522,0.22273190770681622,58167.793791407305
256,128,0.0002,0.15,0.9,0.19944673345353756,0.8478792905807495,0.2838369520313281,59145.58953518145
256,128,0.0002,0.15,1.0,0.22160748161504173,0.809156596660614,0.41336166547052033,43631.56898224992
256,128,0.0002,0.2,0.8,0.04315537924295274,0.9295213222503662,0.11340110300106465,375798.4988929168
256,128,0.0002,0.2,0.9,0.04854980164832184,0.9288187026977539,0.11442706640147716,366330.1533505691
256,128,0.0002,0.2,1.0,0.053944224053690926,0.9277872443199158,0.11646755438237487,355006.24405904213
256,128,0.0002,0.25,0.8,0.11349958909663208,0.9217910170555115,0.21280233161161974,322571.9651223355
256,128,0.0002,0.25,0.9,0.1276870377337111,0.9171414375305176,0.2495871627644157,296177.07820649736
256,128,0.0002,0.25,1.0,0.1418744863707901,0.9134424328804016,0.28765440464351644,273033.80322068854
256,128,0.0003,0.01,0.8,0.5138812921107441,0.3843388259410858,0.5918314729235674,923.312414872176
256,128,0.0003,0.01,0.9,0.5781164536245871,0.43309518694877625,0.4678753603457123,987.758965544293
256,128,0.0003,0.01,1.0,0.6423516151384301,0.5256929397583008,0.39018125291667344,418.44683366827695
256,128,0.0003,0.05,0.8,0.33162918294314875,0.18901045620441437,0.5467813836659747,753.1336177309416
256,128,0.0003,0.05,0.9,0.3730828308110423,0.14909684658050537,0.590970234119936,270.4294317074835
256,128,0.0003,0.05,1.0,0.4145364786789359,0.147792786359787,0.5904446066210727,266.7506951977622
256,128,0.0003,0.1,0.8,0.16521841499877876,0.7256554961204529,0.3030757247950485,12218.04473092829
256,128,0.0003,0.1,0.9,0.1858707168736261,0.7086578607559204,0.32583186020147453,12388.961116130045
256,128,0.0003,0.1,1.0,0.20652301874847345,0.6940863728523254,0.344368489654762,12557.54915411393
256,128,0.0003,0.15,0.8,0.21232928863384318,0.7822627425193787,0.41423121148401815,34212.17358257587
256,128,0.0003,0.15,0.9,0.23887044971307358,0.7581989765167236,0.45937202051377996,29898.26681337583
256,128,0.0003,0.15,1.0,0.26541161079230396,0.7581989765167236,0.45937202051377996,29898.26681337583
256,128,0.0003,0.2,0.8,0.0650572872869591,0.9165188670158386,0.16595751380928672,220857.70834915366
256,128,0.0003,0.2,0.9,0.073189448197829,0.9160237908363342,0.16675735186743545,217320.80427405852
256,128,0.0003,0.2,1.0,0.08132160910869887,0.9157600998878479,0.1678771959322849,216292.74825468514
256,128,0.0003,0.25,0.8,0.05140598841009036,0.9346935749053955,0.1505491254025352,549567.8966360575
256,128,0.0003,0.25,0.9,0.057831736961351646,0.933687150478363,0.1541699350369626,537760.5185868406
256,128,0.0003,0.25,1.0,0.06425748551261294,0.9293068051338196,0.17590821853459943,495869.49813153985
256,128,0.0004,0.01,0.8,0.6943893888540887,,,
256,128,0.0004,0.01,0.9,0.7811880624608498,,,
256,128,0.0004,0.01,1.0,0.8679867360676109,,,
256,128,0.0004,0.05,0.8,0.3529744901547658,0.2458316832780838,0.5856482994153727,1268.9445908081602
256,128,0.0004,0.05,0.9,0.3970963014241115,0.31560251116752625,0.5359220239225878,1264.4563234377736
256,128,0.0004,0.05,1.0,0.44121811269345723,0.35107091069221497,0.6105820457968466,1412.0537533599158
256,128,0.0004,0.1,0.8,0.12579568115420817,0.7433948516845703,0.24038726822896433,10406.430117364465
256,128,0.0004,0.1,0.9,0.1415201412984842,0.7341150045394897,0.29396025348329063,10351.950780005225
256,128,0.0004,0.1,1.0,0.1572446014427602,0.7031832337379456,0.32154904453058486,11734.812982115523
256,128,0.0004,0.15,0.8,0.15590950044728935,0.7959373593330383,0.2342828625041042,17367.67117484812
256,128,0.0004,0.15,0.9,0.17539818800320053,0.7866025567054749,0.29140899180229857,18071.9349836606
256,128,0.0004,0.15,1.0,0.1948868755591117,0.7856823205947876,0.2897937125815201,18591.706833577096
256,128,0.0004,0.2,0.8,0.15347004470479245,0.910695493221283,0.23265879107591125,181438.87574509674
256,128,0.0004,0.2,0.9,0.1726538002928915,0.9060316681861877,0.27421479473283655,174480.97464150516
256,128,0.0004,0.2,1.0,0.19183755588099055,0.8857214450836182,0.355958033840313,142320.19849510657
256,128,0.0004,0.25,0.8,0.05038929199684614,0.9367043972015381,0.14572613717286811,775076.8049694984
256,128,0.0004,0.25,0.9,0.056687953496451914,0.9384878277778625,0.1446306050100466,635372.705302155
256,128,0.0004,0.25,1.0,0.06298661499605768,0.9377456307411194,0.1505811688095816,628250.3296370461
256,128,0.0005,0.01,0.8,0.5405392104199919,,,
256,128,0.0005,0.01,0.9,0.6081066117224908,0.48166653513908386,0.4059496178915455,175.8415605130969
256,128,0.0005,0.01,1.0,0.6756740130249898,,,
256,128,0.0005,0.05,0.8,0.3381941510210352,0.08476105332374573,0.568208229209156,371.873374187051
256,128,0.0005,0.05,0.9,0.3804684198986646,0.33363568782806396,0.4584454605543293,505.0565114872306
256,128,0.0005,0.05,1.0,0.422742688776294,0.3324076235294342,0.45913385987353256,503.3895546065951
256,128,0.0005,0.1,0.8,0.2677232630349573,0.6732537150382996,0.6855178151174658,9341.690329487099
256,128,0.0005,0.1,0.9,0.301188670914327,0.5158568620681763,0.7178081013869632,5786.356064514624
256,128,0.0005,0.1,1.0,0.33465407879369663,0.43118879199028015,0.6153993782314,4604.36375324961
256,128,0.0005,0.15,0.8,0.15009266379420091,0.7829583883285522,0.285371329403528,24589.187375018264
256,128,0.0005,0.15,0.9,0.16885424676847602,0.7633240818977356,0.3585991225394469,22747.204674282115
256,128,0.0005,0.15,1.0,0.18761582974275112,0.7085776925086975,0.445370167636404,20560.17379912764
256,128,0.0005,0.2,0.8,0.19011157277544447,0.9340274333953857,0.1924892911075909,296644.3129109366
256,128,0.0005,0.2,0.9,0.21387551937237503,0.9303457736968994,0.22165823809438226,264034.4653956023
256,128,0.0005,0.2,1.0,0.23763946596930557,0.9018434286117554,0.33234559463413305,92957.12983671195
256,128,0.0005,0.25,0.8,0.19205875385742152,0.9295153021812439,0.29509219378663143,216408.17639177956
256,128,0.0005,0.25,0.9,0.2160660980895992,0.9163171052932739,0.30608984586943666,131720.52388498693
256,128,0.0005,0.25,1.0,0.24007344232177688,0.9163171052932739,0.30608984586943666,131720.52388498693
256,128,0.0006,0.01,0.8,0.4438898126408106,,,
256,128,0.0006,0.01,0.9,0.49937603922091195,,,
256,128,0.0006,0.01,1.0,0.5548622658010133,,,
256,128,0.0006,0.05,0.8,0.37543633717156055,0.12189796566963196,0.7039943933424225,1250.8753353083432
