perplexity,epsilon,min_samples,clusters,outliers,outlier_percentage,silhouette,dbi,chi,cluster_error,silhouette_error,dbi_error,chi_error,matching_error
10,7.0,10,35,3,0.03922594142259414,0.36385923624038696,0.5114659604441018,1970.9337035557915,0.5909090909090909,0.45692651307404936,1.045863841776407,0.7701987942253025,0.7159745599962125
10,7.0,20,33,47,0.6145397489539749,0.36801886558532715,0.5169282317004572,2073.6295300581396,0.5,0.4507181110666759,1.0677129268018288,0.7582249644025679,0.6941640005677682
10,7.0,30,28,261,3.41265690376569,0.3938329219818115,0.4858399049441415,2304.3270325566327,0.2727272727272727,0.4121896686838634,0.9433596197765659,0.7313267667880461,0.5899008319939371
10,7.0,40,24,444,5.805439330543933,0.39435917139053345,0.45987539268240524,2578.310868159313,0.09090909090909091,0.411404221805174,0.839501570729621,0.6993815949790289,0.5102991196057287
10,7.0,50,22,535,6.995292887029289,0.38995125889778137,0.46881638667250447,2747.57390259338,0.0,0.41798319567495323,0.8752655466900179,0.6796463551097941,0.49322377436869125
10,7.0,60,19,812,10.617154811715482,0.4043510854244232,0.4702822874374157,3084.8138370778115,0.13636363636363635,0.3964909172769803,0.8811291497496627,0.6403258323341742,0.5135773839311134
10,7.0,70,17,1190,15.559623430962343,0.3553800880908966,0.48628009921792587,3560.4233331936343,0.22727272727272727,0.4695819580732887,0.9451203968717035,0.5848720971384492,0.5567117948390421
10,7.0,80,19,1802,23.561715481171547,0.37404024600982666,0.4943570386954598,4029.4276799238805,0.13636363636363635,0.4417309761047364,0.9774281547818393,0.5301884899741182,0.5214278143060825
10,7.0,90,18,3151,41.20031380753138,0.44569921493530273,0.5596081822136729,6973.720156159907,0.18181818181818182,0.33477729114133925,1.2384327288546917,0.18689842396543346,0.48548165644491154
10,7.0,100,17,4409,57.64905857740585,0.663220226764679,0.46260221607207996,15005.874137247876,0.22727272727272727,0.010119064530329977,0.8504088642883199,0.7496113462475472,0.45935300058473105
20,3.0,10,43,55,0.7191422594142259,0.4300217628479004,0.37260449659232875,2271.6344922261155,0.9545454545454546,0.35817647336134273,0.490417986369315,0.7351385566895718,0.6345696177414211
20,3.0,20,39,293,3.8310669456066946,0.3022203743457794,0.4060354613884325,2799.3238805890537,0.7727272727272727,0.5489248144092844,0.62414184555373,0.6736125614206583,0.6548516235277364
20,3.0,30,52,1723,22.52876569037657,0.4410734474658966,0.5031749877090121,6944.906337177066,1.3636363636363635,0.34168142169269167,1.0126999508360486,0.19025797397631652,0.727068927535355
20,3.0,40,31,4302,56.25,0.7360332608222961,0.345847115632871,21276.341031594107,0.4090909090909091,0.09855710570491955,0.38338846253148406,1.4807170402094638,0.5929383793841941
20,3.0,50,21,5479,71.63964435146444,0.7781664729118347,0.300824391358639,30546.957760887475,0.045454545454545456,0.16144249688333534,0.2032975654345559,2.561625494320941,0.7429550255233444
20,3.0,60,13,6620,86.55857740585773,0.844820499420166,0.21392763184592775,37661.83384475321,0.4090909090909091,0.26092611853756115,0.144289472616289,3.3911851593975304,1.0513729149105724
20,3.5,10,41,42,0.5491631799163179,0.44420087337493896,0.36867232617273527,2331.5974932319305,0.8636363636363636,0.33701362182844935,0.47468930469094106,0.7281471647882889,0.6008716137360107
20,3.5,20,35,158,2.065899581589958,0.4331267476081848,0.37824804995936806,2745.033624486668,0.5909090909090909,0.35354216774897795,0.5129921998374722,0.679942539081316,0.5343464993942143
20,3.5,30,33,497,6.498430962343097,0.32780811190605164,0.41394377607597926,3244.0230882882256,0.5,0.5107341613342513,0.6557751043039171,0.6217628142922006,0.5720680199825923
20,3.5,40,36,2069,27.052824267782427,0.47915977239608765,0.4935811535784601,8590.489600880252,0.6363636363636364,0.2848361606028543,0.9743246143138404,0.001608965799189558,0.47428334426988017
20,3.5,50,28,4070,53.21652719665272,0.7198165059089661,0.3649653745377463,21217.76770725581,0.2727272727272727,0.07435299389397913,0.4598614981509852,1.4738876777936254,0.5702073606414656
20,3.5,60,18,5238,68.48849372384937,0.7469278573989868,0.3353564390860108,26833.218152677604,0.18181818181818182,0.11481769761042802,0.34142575634404326,2.128621665546685,0.6916708253298346
20,3.5,70,14,5955,77.86349372384937,0.8235510587692261,0.24894375859822976,33931.97816574508,0.36363636363636365,0.2291806847301881,0.004224965607080966,2.95630227578997,0.8883360724409006
20,3.5,80,4,7257,94.88755230125523,0.8728060126304626,0.1826096964562722,19382.061216091544,0.8181818181818182,0.30269554123949644,0.2695612141749112,1.2598533019255147,0.6625729688804352
20,4.0,10,41,37,0.48378661087866104,0.4475827217102051,0.3687751894903648,2330.5117608925007,0.8636363636363636,0.33196608699969393,0.47510075796145923,0.7282737558554057,0.5997442411132307
20,4.0,20,34,135,1.7651673640167362,0.4672918915748596,0.36898030567335305,2761.923105257801,0.5454545454545454,0.30254941555991105,0.4759212226934122,0.6779733084374273,0.500474623036324
20,4.0,30,32,249,3.2557531380753137,0.432773619890213,0.38687707954642175,2943.613069499887,0.45454545454545453,0.35406922404445823,0.547508318185687,0.6567891494854208,0.5032280365652552
