n_neighbors,min_dist,epsilon,min_samples,clusters,outliers,outlier_percentage,silhouette,dbi,chi,cluster_error,silhouette_error,dbi_error,chi_error,matching_error
10,0.0,0.6,50,22,516,6.7468619246861925,0.910954475402832,0.07743815876413386,77352.45048646072,0.0,0.08446961357480008,0.13957601373184597,0.4215743209227004,0.16140498705733664
10,0.0,0.6,60,19,683,8.930439330543933,0.9093707203865051,0.07757502751447669,85154.18291949722,0.13636363636363635,0.08258419093631567,0.13805524983914788,0.5649536504173198,0.23048918188910494
10,0.0,0.6,70,16,879,11.493200836820083,0.9097167253494263,0.0821674826566079,94097.09957096436,0.2727272727272727,0.08299610160645988,0.08702797048213448,0.7293055304925724,0.2930142188271099
10,0.0,0.6,80,15,956,12.5,0.9080833196640015,0.08409120440135288,97216.00955448183,0.3181818181818182,0.08105157102857322,0.06565328442941236,0.7866244947135435,0.3128777920883368
10,0.0,0.6,90,14,1043,13.63755230125523,0.9082632064819336,0.08732007281290437,99689.6015310145,0.36363636363636365,0.08126572200230193,0.029776968745506994,0.8320838798030276,0.3266907335468
10,0.0,0.6,100,14,1043,13.63755230125523,0.9082632064819336,0.08732007281290437,99689.6015310145,0.36363636363636365,0.08126572200230193,0.029776968745506994,0.8320838798030276,0.3266907335468
10,0.0,0.65,10,45,27,0.3530334728033473,0.8861740231513977,0.08119041419828321,44202.845950391464,1.0454545454545454,0.0549690751802354,0.09788428668574206,0.18764524821644551,0.3464882888842421
10,0.0,0.65,20,34,187,2.4450836820083683,0.8966848850250244,0.0830939883102282,55490.06866664039,0.5454545454545454,0.06748200598217197,0.07673346321968666,0.019790015528216014,0.177365007546155
10,0.0,0.65,30,25,387,5.060146443514644,0.8999806642532349,0.0825722774778983,70890.30060046761,0.13636363636363635,0.07140555268242249,0.08253025024557437,0.30281368337199627,0.14827828066590737
10,0.0,0.65,40,24,418,5.4654811715481175,0.9036301970481873,0.08137989294396113,73102.84533480367,0.09090909090909091,0.07575023458117534,0.09577896728932078,0.34347557266502404,0.15147846636115275
10,0.0,0.65,50,22,502,6.5638075313807525,0.908449113368988,0.08236133802587889,77376.9065962305,0.0,0.0814870397249858,0.08487402193467898,0.42202377245810435,0.14709620852944227
10,0.0,0.65,60,19,683,8.930439330543933,0.9093707203865051,0.07757502751447669,85154.18291949722,0.13636363636363635,0.08258419093631567,0.13805524983914788,0.5649536504173198,0.23048918188910494
10,0.0,0.65,70,16,879,11.493200836820083,0.9097167253494263,0.0821674826566079,94097.09957096436,0.2727272727272727,0.08299610160645988,0.08702797048213448,0.7293055304925724,0.2930142188271099
10,0.0,0.65,80,15,956,12.5,0.9080833196640015,0.08409120440135288,97216.00955448183,0.3181818181818182,0.08105157102857322,0.06565328442941236,0.7866244947135435,0.3128777920883368
10,0.0,0.65,90,14,1043,13.63755230125523,0.9082632064819336,0.08732007281290437,99689.6015310145,0.36363636363636365,0.08126572200230193,0.029776968745506994,0.8320838798030276,0.3266907335468
10,0.0,0.65,100,14,1043,13.63755230125523,0.9082632064819336,0.08732007281290437,99689.6015310145,0.36363636363636365,0.08126572200230193,0.029776968745506994,0.8320838798030276,0.3266907335468
10,0.0,0.7,10,45,20,0.2615062761506276,0.8837544918060303,0.08289929616952084,44209.28912360251,1.0454545454545454,0.05208868072146465,0.0788967092275462,0.18752683633001557,0.34099169293339293
10,0.0,0.7,20,34,180,2.3535564853556483,0.8947371244430542,0.08467507480897883,55500.682484828954,0.5454545454545454,0.06516324338458837,0.05916583545579073,0.019985075042024725,0.1724421748342373
10,0.0,0.7,30,25,380,4.968619246861924,0.9011864066123962,0.08294181113528522,70907.18423566806,0.13636363636363635,0.07284096025285271,0.0784243207190531,0.30312396885220844,0.14768822154693764
10,0.0,0.7,40,24,411,5.3739539748953975,0.9061076045036316,0.08176482383707251,73120.25610525442,0.09090909090909091,0.07869952917099003,0.09150195736586098,0.3437955457754376,0.15122653080534487
10,0.0,0.7,50,22,495,6.472280334728034,0.9087876081466675,0.08278126263654585,77396.96852195462,0.0,0.0818900096984137,0.08020819292726827,0.4223924681911847,0.14612266770421667
10,0.0,0.7,60,19,662,8.655857740585773,0.9107326865196228,0.08380910819728156,85225.76453910129,0.13636363636363635,0.08420557919002719,0.06878768669687153,0.5662691690807785,0.21390651783282838
10,0.0,0.7,70,16,858,11.218619246861925,0.9093669652938843,0.08843573396535861,94214.56071103692,0.2727272727272727,0.08257972058795751,0.017380733718237576,0.7314642176367202,0.276037986167547
10,0.0,0.7,80,15,949,12.40847280334728,0.9085099697113037,0.08476704368234637,97260.59983005065,0.3181818181818182,0.08155948775155207,0.058143959085040255,0.787443969601706,0.31133230865502914
10,0.0,0.7,90,14,1036,13.54602510460251,0.9079656004905701,0.08804418632825453,99742.65057946417,0.36363636363636365,0.0809114291554406,0.021731263019394063,0.8330588090334679,0.3248344662111665
10,0.0,0.7,100,14,1036,13.54602510460251,0.9079656004905701,0.08804418632825453,99742.65057946417,0.36363636363636365,0.0809114291554406,0.021731263019394063,0.8330588090334679,0.3248344662111665
10,0.1,0.3,10,47,24,0.3138075313807531,0.8563700914382935,0.10687452186378084,26919.674580395844,1.1363636363636365,0.019488204093206535,0.1874946873753427,0.5052733575934412,0.4621549713564067
10,0.1,0.3,20,34,209,2.7327405857740588,0.8603643774986267,0.09918841186616167,34810.67443415413,0.5454545454545454,0.024243306545984215,0.1020934651795742,0.36025348184340233,0.2580111997558765
10,0.1,0.3,30,25,409,5.347803347280335,0.8614615201950073,0.1087707767030943,43747.28023826982,0.13636363636363635,0.025549428803580188,0.20856418558993675,0.19601758178535222,0.14162370813562639
10,0.1,0.3,40,24,445,5.818514644351464,0.8700945377349854,0.10682099028917703,45481.07517495421,0.09090909090909091,0.03582683063688736,0.18689989210196709,0.16415410048338966,0.11944747853283375
10,0.1,0.3,50,24,588,7.688284518828452,0.6527130603790283,0.17315417901702887,48544.969144553674,0.09090909090909091,0.22296064240591865,0.923935322411432,0.10784621415501945,0.3364128174703652
10,0.1,0.3,60,20,951,12.434623430962342,0.7176458239555359,0.15826778825412172,56002.94137958266,0.09090909090909091,0.14565973338626675,0.7585309806013525,0.029215530480044265,0.2560788338441886
10,0.1,0.3,70,16,1569,20.515167364016737,0.8858470916748047,0.10832141150476568,69827.18678633086,0.2727272727272727,0.05457987104143419,0.20357123894184093,0.28327590158369303,0.20353857107356021
10,0.1,0.3,80,20,2334,30.517782426778243,0.547419548034668,0.39477517611241464,118788.10957421345,0.09090909090909091,0.3483100618634905,3.3863908456934966,1.183074035013423,1.2521710083698752
10,0.1,0.3,90,20,3706,48.4571129707113,0.7427184581756592,0.32148710345607573,191354.44867936667,0.09090909090909091,0.11581135931469141,2.5720789272897306,2.516689758710642,1.3238722840560389
10,0.1,0.3,100,15,4841,63.29759414225941,0.9199917912483215,0.12586332480180115,251691.5850409976,0.3181818181818182,0.09522832291466853,0.39848138668667954,3.6255586194937806,1.1093625368192366
10,0.1,0.35,10,47,23,0.30073221757322177,0.8547369241714478,0.10688080777725946,26920.057265455413,1.1363636363636365,0.01754395734696165,0.1875645308584385,0.5052663246520118,0.46168461230526203
10,0.1,0.35,20,34,208,2.7196652719665275,0.860061526298523,0.09919710121714682,34811.36881599018,0.5454545454545454,0.02388276940300355,0.10219001352385364,0.3602407205749378,0.2579420122390851
10,0.1,0.35,30,25,408,5.334728033472803,0.8604263663291931,0.10878259422043411,43748.437596019256,0.13636363636363635,0.024317102772848983,0.20869549133815685,0.19599631199950357,0.14134313561853645
10,0.1,0.35,40,24,439,5.740062761506276,0.8702287077903748,0.10684957866617378,45453.19256801271,0.09090909090909091,0.035986556893303316,0.1872175407352643,0.16466652378451516,0.11969492808054344
10,0.1,0.35,50,22,523,6.8383891213389125,0.8700171113014221,0.10905989286362706,48604.16467602009,0.0,0.03573465631121685,0.21177658737363408,0.10675832557596587,0.0885673923152042
10,0.1,0.35,60,19,701,9.165794979079497,0.8766066431999207,0.11020764634504882,52862.01236773101,0.13636363636363635,0.04357933714276272,0.22452940383387576,0.02850809687770772,0.10824511855449565
10,0.1,0.35,70,17,988,12.918410041841005,0.7066803574562073,0.17189216535523952,60371.10011870884,0.22727272727272727,0.15871386017118178,0.9099129483915502,0.10949304275281649,0.3513481446470689
10,0.1,0.35,80,15,1242,16.239539748953973,0.8807622790336609,0.11129034763333959,66503.07823428673,0.3181818181818182,0.04852652265912014,0.23655941814821768,0.22218582198275544,0.20636339524297787
10,0.1,0.35,90,14,1533,20.044456066945607,0.8819677829742432,0.11118373952152728,71653.59478375084,0.36363636363636365,0.049961646397908566,0.23537488357252542,0.31684141492337137,0.24145357713254226
10,0.1,0.35,100,14,1891,24.72541841004184,0.8882036209106445,0.10867129653355222,77174.32891720854,0.36363636363636365,0.057385262988862575,0.20745885037280246,0.4183008234800347,0.2616953251195159
